community_clusters,hashtags_of_community_clusters,score_of_community_clusters,k_mean_clusters,hashtags_of_k_mean_clusters,score_of_k_mean_clusters,levenshtein_clusters,hashtags_of_levenshtein_clusters,score_of_levenshtein_clusters,best_clusters,hashtags_of_best_clusters,score_of_best_clusters
community cluster 495,"['venice', 'teamwork', 'lendhafen', 'running', 'carlovers', 'durstlöscher', 'herrengasse', 'videodreh', 'summer', 'graz', 'innovation', 'workhard', 'digitalisierung', 'newwork']",132.6,,,,,,,,,
community cluster 496,"['nike', 'workout']",7.6,,,,,,,,,
community cluster 497,"['travelphotography', 'instafood', 'roadtrip', 'adventuretime', 'steigauf', 'instagood', 'bergwelten', 'adventure', 'abenteuer', 'interview', 'schweiz', 'wanderlust', 'austria', 'hiking', 'graz', 'styria']",184.79999999999998,,,,,,,,,
community cluster 498,"['spring', 'travelphotography', 'wandern', 'outdoorphotography', 'outdooradventures', 'outdoor', 'adventure', 'naturephotography', 'bergwelten', 'abenteuer', 'schweiz', 'wanderlust', 'nature', 'steigauf', 'mountains', 'startup']",115.19999999999999,,,,,,,,,
community cluster 499,"['mountainview', 'travelphotography', 'adventuretime', 'outdoor', 'adventure', 'naturephotography', 'bergwelten', 'natur', 'abenteuer', 'schweiz', 'wanderlust', 'sundowner', 'steigauf', '2min2mio', 'travel', 'startup']",111.6,,,,,,,,,
community cluster 500,"['travelphotography', 'mountainview', 'adventuretime', 'wandern', 'outdoor', 'bergwelten', 'adventure', 'natur', 'abenteuer', 'summer', 'interview', 'schweiz', 'wanderlust', 'vacationmode', 'steigauf', '2min2mio', 'sundowner']",123.05,,,,,,,,,
community cluster 501,"['mountainview', 'review', 'wandern', 'adventure', 'natur', 'summer', 'wanderlust', 'spring', '2min2mio', 'startup']",135.0,,,,,,,,,
community cluster 502,"['review', 'staytuned', 'austrianblogger', 'foodlover', 'foodporn', 'picoftheday', 'foodie', 'outdoor', 'natur', 'styria', 'winter', 'feedback', '2021', 'interview', 'graz', 'austria', '2min2mio', 'startup']",203.50000000000003,,,,,,,,,
community cluster 503,"['christmas', 'mountainview', 'feliznavidad', 'sunrise', 'merrychristmas', 'outdoor', 'adventure', 'tea', 'newyear', 'lifestyle', 'moda', 'blueeyes', 'graz', 'beautifulday', 'igersgraz', 'ınstagood', 'frühlingsgefühle']",139.14999999999998,,,,,,,,,
community cluster 504,"['vacay', 'style', 'inlove', 'blumenwiese', 'classy', 'igersvienna', 'traveltheworld', 'fashionblogger', 'shopping', 'summeroutfit', 'inspiration', 'businesswoman', 'business', 'vacationmode', 'vacation', 'austria', 'outfitoftheday', 'girl']",126.50000000000001,,,,,,,,,
community cluster 505,"['motivation', 'instagram', 'mountain', 'future', 'service', 'sonnenuntergang', 'lgbt', 'foto', 'genial', 'hotel', 'graz', 'cool', 'tellers', 'lifestyle', 'beats', 'weekendvibes', 'lgbtq', 'music']",113.30000000000001,,,,,,,,,
community cluster 506,"['nice', 'food', 'graz', 'fun', 'music', 'marry', 'vanille', 'foodlovers', 'foodiesofinstagram', 'sunshine', 'lifestyle', 'backen', 'art', 'happyday', 'lecker', 'nofilter', 'bridge', 'nofilterneeded', 'weekend', 'startups', 'raspberry']",149.15,,,,,,,,,
community cluster 507,"['selfie', 'healthy', 'weekendvibes', 'rezepte', 'instagram', 'cooking', 'nofilterneeded', 'homemade', 'kochen', 'ootd', 'bhfyp', '2021', 'like', 'nofilter', 'love', 'essen', 'styria']",119.6,,,,,,,,,
community cluster 508,"['style', 'backen', 'rezepte', 'foodlovers', 'cooking', 'foodlover', 'foodporn', 'foodie', 'lecker', 'restaurant', 'kochen', 'delicious', 'blogger', 'cake', 'like', 'nature', 'healthy']",125.35,,,,,,,,,
community cluster 509,"['motivation', 'homemade', 'instagood', 'kochen', 'vegan', 'music', 'selfie', 'sunshine', 'yummy', 'foodies', 'torte', 'instagram', 'happyday', 'selbstgemacht', 'lecker', 'cake', 'weekend', 'essen', 'life']",127.05000000000001,,,,,,,,,
community cluster 510,"['foodporn', 'cute', 'homemade', 'foodie', 'kochen', 'food', 'styria', 'selfie', 'rezepte', 'instafood', 'instagram', 'foodlover', 'lecker', 'delicious', 'fashion', 'austria', 'foodstagram', 'essen', 'life']",154.35,,,,,,,,,
community cluster 511,"['cute', 'restaurant', 'blogger', 'lgbt', 'bhfyp', 'insta', 'healthy', 'photo', 'shots', 'fashion', 'austria', 'nature', 'lockdown', 'lgbtq', 'smile', 'memes', 'reels', '2021', 'goodmorning']",129.15,,,,,,,,,
community cluster 512,"['lunch', 'cute', 'restaurant', 'food', 'styria', 'insta', 'sunshine', 'steiermark', 'desserts', 'lifestyle', 'instafood', 'brot', 'happyday', 'austria', 'style', 'cooking', 'brotliebe', 'weekend', 'natur', 'life']",160.0,,,,,,,,,
community cluster 513,"['lunch', 'nice', 'food', 'ringana', 'styria', 'music', 'vanille', 'insta', 'foodiesofinstagram', 'lifestyle', 'art', 'beauty', 'happysunday', 'austria', 'video', 'cooking', 'foodblogger', 'tasty', 'natur', 'raspberry']",139.0,,,,,,,,,
community cluster 514,"['rezepte', 'austrianblogger', 'nofilterneeded', 'homemade', 'selbstgemacht', 'foodie', 'healthyfood', 'foodblogger', 'kochen', 'delicious', 'foodlover', 'backenmitliebe', 'yummy', 'photooftheday', 'kuchen', 'essen', 'austria', 'styria']",149.60000000000002,,,,,,,,,
community cluster 515,"['foodporn', 'homemade', 'foodie', 'lunch', 'kochen', 'bhfyp', 'graz', 'selfie', 'rezepte', 'healthy', 'instafood', 'instadaily', 'delicious', 'cake', 'foodstagram', 'cooking', 'brotliebe', 'foodblogger', 'nofilterneeded', 'tasty', 'essen']",129.2,,,,,,,,,
community cluster 516,"['foodporn', 'lunch', 'cute', 'blogger', 'bhfyp', 'styria', 'picoftheday', 'naturephotography', 'steiermark', 'healthy', 'photo', 'shots', 'fashion', 'lockdown', 'visitaustria', 'style', 'cooking', 'smile', 'brotliebe', 'natur', 'photography']",147.25,,,,,,,,,
community cluster 517,"['nice', 'graz', 'ringana', 'styria', 'vegan', 'music', 'foodlovers', 'sunshine', 'view', 'lifestyle', 'explore', 'happyday', 'beauty', 'grazaustria', 'video', 'memes', 'weekend', 'reels', 'raspberry', 'life', 'goodmorning']",152.0,,,,,,,,,
community cluster 518,"['foodporn', 'nice', 'graz', 'ringana', 'vegan', 'insta', 'sport', 'foodlovers', 'foodiesofinstagram', 'naturephotography', 'lifestyle', 'instafood', 'photo', 'foodies', 'shots', 'happysunday', 'visitaustria', 'smile', 'weekend', 'photography', 'raspberry']",149.15,,,,,,,,,
community cluster 519,"['followme', 'instadaily', 'foodies', 'cooking', 'foodporn', 'homemade', 'foodie', 'foodphotography', 'healthyfood', 'kochen', 'delicious', 'restaurant', 'natur', 'essen', 'yummy', 'healthy', 'instafood']",113.85,,,,,,,,,
community cluster 520,"['followme', 'motivation', 'vanille', 'smile', 'foodporn', 'cute', 'art', 'homemade', 'weekend', 'beauty', 'selbstgemacht', 'reels', 'desserts', 'fashion', 'life', 'vegan']",120.0,,,,,,,,,
community cluster 521,"['homemade', 'lunch', 'cute', 'restaurant', 'bhfyp', 'fun', 'insta', 'foodlovers', 'steiermark', 'fashion', 'nature', 'grazaustria', 'visitaustria', 'style', 'cooking', 'brotliebe', 'natur', 'backenmitliebe', 'photography', 'essen', 'life']",143.45,,,,,,,,,
community cluster 522,"['selfie', 'rezepte', 'picoftheday', 'foodlover', 'homemade', 'selbstgemacht', 'healthyfood', 'foodphotography', 'tasty', 'kochen', 'delicious', 'photography', 'essen', 'yummy', 'healthy']",123.75,,,,,,,,,
community cluster 523,"['selfie', 'torte', 'cooking', 'picoftheday', 'tasty', 'foodie', 'foodiesofinstagram', 'happyday', 'weekend', 'delicious', 'sunshine', 'cake', 'photooftheday', 'kuchen', 'essen', 'healthyfood', 'music']",114.99999999999999,,,,,,,,,
community cluster 524,"['motivation', 'cute', 'kochen', 'vegan', 'music', 'selfie', 'rezepte', 'steiermark', 'yummy', 'foodlover', 'art', 'happyday', 'happysunday', 'nature', 'lockdown', 'style', 'weekend', 'natur', 'photography', 'life', 'goodmorning']",178.6,,,,,,,,,
community cluster 525,"['foodie', 'kochen', 'restaurant', 'bhfyp', 'healthyfood', 'selfie', 'picoftheday', 'sunshine', 'view', 'steiermark', 'yummy', 'healthy', 'torte', 'foodlover', 'delicious', 'cake', 'visitaustria', 'cooking', 'tasty', 'natur']",138.0,,,,,,,,,
community cluster 526,"['cute', 'kochen', 'fun', 'vegan', 'music', 'vanille', 'foodlovers', 'naturephotography', 'art', 'fashion', 'happysunday', 'nature', 'lockdown', 'style', 'nofilterneeded', 'natur', 'photography', 'life', 'goodmorning']",163.8,,,,,,,,,
community cluster 527,"['motivation', 'lunch', 'cute', 'kochen', 'blogger', 'restaurant', 'nice', 'sport', 'foodlovers', 'steiermark', 'yummy', 'shots', 'fashion', 'lockdown', 'visitaustria', 'style', 'cooking', 'backenmitliebe', 'raspberry', 'life']",125.0,,,,,,,,,
community cluster 528,"['foodstagram', 'rezepte', 'torte', 'cooking', 'foodlover', 'healthyfood', 'tasty', 'foodie', 'foodphotography', 'happyday', 'kochen', 'delicious', 'weekend', 'cake', 'desserts', 'yummy', 'healthy']",120.74999999999999,,,,,,,,,
community cluster 529,"['foodphotography', 'fun', 'vegan', 'vanille', 'rezepte', 'foodlovers', 'sport', 'steiermark', 'desserts', 'lifestyle', 'art', 'beautiful', 'fashion', 'happysunday', 'nature', 'lockdown', 'foodstagram', 'weekend', 'natur', 'photography', 'goodmorning']",166.25,,,,,,,,,
community cluster 530,"['instadaily', 'foodstagram', 'visitaustria', 'cooking', 'foodlover', 'lunch', 'tasty', 'foodie', 'foodphotography', 'cute', 'restaurant', 'delicious', 'natur', 'bhfyp', 'steiermark', 'healthy']",123.6,,,,,,,,,
community cluster 531,"['motivation', 'cute', 'healthyfood', 'fun', 'vegan', 'music', 'healthy', 'happyday', 'beauty', 'delicious', 'nature', 'foodstagram', 'style', 'cooking', 'smile', 'tasty', 'weekend', 'natur', 'photography', 'life']",164.0,,,,,,,,,
community cluster 532,"['motivation', 'lunch', 'cute', 'foodie', 'kuchen', 'fun', 'vegan', 'insta', 'foodiesofinstagram', 'desserts', 'lifestyle', 'foodlover', 'art', 'beauty', 'cake', 'fashion', 'smile', 'natur', 'goodmorning']",131.25,,,,,,,,,
community cluster 533,"['instadaily', 'style', 'torte', 'cooking', 'austrianblogger', 'tasty', 'cute', 'happyday', 'weekend', 'delicious', 'cake', 'photography', 'nature', 'life', 'music']",138.75,,,,,,,,,
community cluster 534,"['followme', 'foodie', 'blogger', 'fun', 'insta', 'steiermark', 'lifestyle', 'explore', 'photo', 'art', 'fashion', 'video', 'lockdown', 'visitaustria', 'austrianblogger', 'memes', 'reels', 'natur', 'life']",129.15,,,,,,,,,
community cluster 535,"['lunch', 'cute', 'foodie', 'restaurant', 'healthyfood', 'ringana', 'fun', 'vegan', 'music', 'foodlovers', 'foodiesofinstagram', 'desserts', 'steiermark', 'sofree', 'explore', 'art', 'nature', 'style', 'cooking', 'natur', 'life']",146.29999999999998,,,,,,,,,
community cluster 536,"['motivation', 'cooking', 'picoftheday', 'healthyfood', 'happyday', 'weekend', 'tasty', 'nice', 'desserts', 'lifestyle', 'grazaustria', 'vegan']",117.6,,,,,,,,,
community cluster 537,"['lunch', 'cute', 'restaurant', 'picoftheday', 'steiermark', 'healthy', 'art', 'beautiful', 'beauty', 'nature', 'style', 'smile', 'tasty', 'natur', 'photooftheday', 'photography', 'raspberry', 'life', 'goodmorning']",158.55,,,,,,,,,
community cluster 538,"['restaurant', 'bhfyp', 'picoftheday', 'lifestyle', 'healthy', 'igers', 'art', 'happyday', 'beautiful', 'beauty', 'fashion', 'nature', 'style', 'visitaustria', 'smile', 'weekend', 'natur', 'photography', 'goodmorning']",156.45000000000002,,,,,,,,,
community cluster 539,"['cute', 'restaurant', 'healthylifestyle', 'fun', 'music', 'steiermark', 'art', 'fashion', 'happysunday', 'nature', 'lockdown', 'visitaustria', 'style', 'cooking', 'smile', 'tasty', 'natur', 'photography', 'raspberry', 'life', 'goodmorning']",167.2,,,,,,,,,
community cluster 540,"['vanille', 'sport', 'cooking', 'foodlovers', 'happyday', 'weekend', 'beauty', 'restaurant', 'blogger', 'nice', 'desserts', 'ringana', 'photography', 'nature', 'lifestyle', 'healthy', 'vegan']",131.1,,,,,,,,,
community cluster 541,"['lunch', 'blogger', 'nice', 'healthylifestyle', 'insta', 'foodiesofinstagram', 'naturephotography', 'steiermark', 'photo', 'shots', 'art', 'fashion', 'style', 'visitaustria', 'weekend', 'natur', 'photography', 'raspberry', 'life']",138.6,,,,,,,,,
community cluster 542,"['motivation', 'restaurant', 'nice', 'fun', 'vegan', 'music', 'healthy', 'explore', 'photo', 'art', 'happysunday', 'nature', 'video', 'visitaustria', 'memes', 'reels', 'photography', 'raspberry', 'goodmorning']",144.9,,,,,,,,,
community cluster 543,"['style', 'smile', 'cute', 'art', 'foodiesofinstagram', 'beautiful', 'beauty', 'natur', 'explore', 'photography', 'happysunday', 'nature', 'healthy', 'igers', 'fun', 'lockdown', 'goodmorning']",150.64999999999998,,,,,,,,,
community cluster 544,"['photo', 'flowers', 'classy', 'springvibes', 'flowerpower', 'italia', 'summeroutfit', 'art', 'love', 'girlpower', 'summervibes', 'inspiration', 'outfit', 'blogger', 'italy', 'nature', 'spring', 'outfitoftheday']",147.4,,,,,,,,,
community cluster 545,"['visitaustria', 'insta', 'shots', 'motivation', 'weekend', 'naturephotography', 'natur', 'reels', 'lifestyle', 'steiermark', 'photography', 'fashion', 'sofree', 'ringana', 'life', 'explore', 'grazaustria', 'vegan']",146.3,,,,,,,,,
community cluster 546,"['style', 'motivation', 'shots', 'art', 'naturephotography', 'lgbt', 'reels', 'lifestyle', 'steiermark', 'healthylifestyle', 'fashion', 'happysunday', 'raspberry', 'life', 'explore', 'fun', 'lgbtq', 'music']",127.60000000000001,,,,,,,,,
community cluster 547,"['style', 'insta', 'shots', 'smile', 'happyday', 'weekend', 'cute', 'view', 'sunshine', 'nice', 'steiermark', 'sofree', 'ringana', 'grazaustria', 'lockdown', 'vegan']",127.19999999999999,,,,,,,,,
community cluster 548,"['style', 'insta', 'motivation', 'shots', 'memes', 'foodiesofinstagram', 'art', 'fashion', 'goodmorning', 'happysunday', 'lifestyle', 'explore', 'fun', 'lockdown', 'video', 'music', 'raspberry']",116.14999999999999,,,,,,,,,
community cluster 549,"['style', 'motivation', 'vanille', 'smile', 'cute', 'weekend', 'beautiful', 'sunshine', 'view', 'fashion', 'ringana', 'sofree', 'lifestyle', 'grazaustria', 'lockdown', 'vegan', 'raspberry']",126.49999999999999,,,,,,,,,
community cluster 550,"['style', 'smile', 'memes', 'cute', 'art', 'beautiful', 'beauty', 'fashion', 'happysunday', 'life', 'explore', 'fun', 'video', 'music', 'goodmorning']",122.5,,,,,,,,,
community cluster 551,"['motivation', 'foodlovers', 'memes', 'cute', 'happyday', 'weekend', 'view', 'beauty', 'reels', 'fashion', 'happysunday', 'life', 'explore', 'fun', 'igers', 'video', 'music', 'goodmorning']",117.7,,,,,,,,,
community cluster 552,"['followme', 'sport', 'happyday', 'weekend', 'beautiful', 'beauty', 'sunshine', 'view', 'nice', 'ringana', 'sofree', 'lifestyle', 'explore', 'fun', 'igers', 'vegan', 'goodmorning']",119.6,,,,,,,,,
community cluster 553,"['schwarztee', 'erfrischung', 'probieren', 'zitrone', 'teeliebe', 'organic', 'fun', 'österreich', 'getränke', 'rotbusch', 'tee', 'rooibos', 'mate', 'wochenende', 'lecker', 'blacktea', 'trinken', 'weekend', 'reels', 'lemon', 'genuss']",98.8,,,,,,,,,
community cluster 554,"['motivation', 'vegan', 'happyday', 'weekend', 'art', 'lgbt', 'sunshine', 'beauty', 'nice', 'desserts', 'lifestyle', 'video', 'lgbtq', 'music']",113.10000000000001,,,,,,,,,
community cluster 555,"['foodlovers', 'memes', 'art', 'weekend', 'grazaustria', 'beauty', 'nice', 'healthylifestyle', 'desserts', 'happysunday', 'lifestyle', 'explore', 'video', 'vegan', 'raspberry']",106.25,,,,,,,,,
community cluster 556,"['motivation', 'vegetarisch', 'share', 'nice', 'healthylifestyle', 'ringana', 'rezeptideen', 'vegan', 'vanille', 'sunshine', 'view', 'rezept', 'recipe', 'desserts', 'sofree', 'notjustapearlchallenge', 'lifestyle', 'nachhaltig', 'happyday', 'weekend']",100.0,,,,,,,,,
community cluster 557,"['bestfood', 'motivation', 'vanille', 'nachhaltig', 'happyday', 'vegetarisch', 'foodie', 'inspiration', 'nice', 'cocktails', 'wanderlust', 'lifestyle', 'flowers', 'travel', 'veganfood', 'vegan', 'challengeaccepted']",138.0,,,,,,,,,
community cluster 558,"['newopportunities', 'naturelover', 'bealive', 'newmemoriestocome', 'breathtakingview', 'ringana', 'ocean', 'internationalfriendship', 'travelbuddy', 'sightseeing', 'touri', 'tbf', 'sofree', 'hiking', 'bärenschützklamm', 'beautifulaustria', 'nature', 'qualitytime', 'friendshipgoals', 'visitaustria', 'awareness']",70.3,,,,,,,,,
community cluster 559,"['trinken', 'teeliebe', 'wochenende', 'nachhaltig', 'happynewyear', 'erfrischung', 'instagood', 'holidays', 'newyear', 'deko', 'valentinesday', 'essen', 'love', 'tee', 'finally', 'froheweihnachten', 'holiday']",119.6,,,,,,,,,
community cluster 560,"['photooftheday', 'vöcklabruck', 'asiahouse']",25.900000000000002,,,,,,,,,
community cluster 561,"['update', 'wochenende', 'takeaway', 'foodporn', 'instagood', 'muttertag', 'covid_19', 'valentinesday', 'essen', 'covid19', 'corona']",85.55,,,,,,,,,
community cluster 562,"['shooting', 'foodporn', 'dessert', 'instagood', 'massentierhaltung', 'veganfood', 'christmas', 'gastronomie', 'challenge', 'valentinesday', 'notjustapearlchallenge', 'wochenende', 'gin', 'merrychristmas', 'lecker', 'falstaff', 'covid19', 'falstaffprofiatwork', 'froheweihnachten', 'travel']",113.0,,,,,,,,,
community cluster 563,"['bio', 'probieren', 'netherlands', 'pure', 'österreich', 'review', 'getränke', 'erdbeeren', 'healthy', 'wochenende', 'merrychristmas', 'lecker', 'niederlande', 'minze', 'froheweihnachten', 'austria', 'covid19', 'trinken', 'lemon', 'genuss', 'tester']",111.14999999999999,,,,,,,,,
community cluster 564,"['family', 'cooking', 'frühling', 'shopping', 'danke', 'summervibes', 'schokolade', 'breakfast', 'wien', 'frühstück', 'essen', 'kaffee', 'party', 'genuss']",133.9,,,,,,,,,
community cluster 565,"['mode', 'kids', 'diestadtmeineslebens', 'geschenke', 'design', 'murinsel', 'fotoderwochegraz', 'steiermark', 'summer', 'graz', 'supportyourlocal', 'igersgraz', 'visitgraz', 'buylocal', 'interiordesign', 'tradition']",178.79999999999998,,,,,,,,,
community cluster 566,"['frisch', 'schwarztee', 'kids', 'erfrischung', 'zitrone', 'getränke', 'rezepte', 'erdbeeren', 'steiermark', 'igersgraz', 'mate', 'hitze', 'minze', 'summer', 'icedtea', 'blacktea', 'cocktail', 'trinken', 'lemon', 'genuss']",124.0,,,,,,,,,
community cluster 567,"['visitaustria', 'mode', 'geschenke', 'design', 'murinsel', 'summer', 'supportyourlocal', 'fashion', 'igersgraz', 'visitgraz', 'interiordesign', 'diestadtmeineslebens']",138.6,,,,,,,,,
community cluster 568,"['style', 'springvibes', 'classy', 'italia', 'igersvienna', 'fashionblogger', 'shopping', 'summeroutfit', 'girlpower', 'inspiration', 'italy', 'fashion', 'accessories', 'igersgraz', 'flowers', 'buylocal', 'outfitoftheday']",121.89999999999999,,,,,,,,,
community cluster 569,"['shooting', 'mode', 'cooking', 'geschenke', 'design', 'challenge', 'share', 'challengeaccepted', 'summer', 'fashion', 'interiordesign', 'murinsel', 'feierabend']",103.95,,,,,,,,,
community cluster 570,"['maxstiegl', 'nachhaltigkeit', 'frosch', 'niere', 'restaurant', 'besonderetiere', 'gutpurbach', 'nachhaltigleben', 'besterkoch', 'innereien', 'innereienküche', 'foodlovers', 'notjustapearlchallenge', 'bestchef', 'nachhaltigkochen', 'zerowaste', 'chef', 'herz', 'nosetotail', 'biber']",43.0,,,,,,,,,
community cluster 571,"['dessert', 'vegetarisch', 'foodie', 'nachhaltigleben', 'konditorei', 'notjustapearlchallenge', 'bestfood', 'nachhaltig', 'foodlover', 'herz', 'ahorn', 'nachspeise', 'gemüse', 'job', 'fleisch', 'sirup', 'cooking', 'foodmarket', 'veggie', 'cocktails', 'ahornsirup']",75.05,,,,,,,,,
community cluster 572,"['hotellerie', 'nachhaltigkeit', 'dessert', 'foodie', 'kochen', 'food', 'nachhaltigleben', 'gastro', 'zerowaste', 'streetfood', 'nachhaltig', 'foodlover', 'nachspeise', 'challengeaccepted', 'fleisch', 'job', 'cooking', 'veggie', 'genuss']",96.60000000000001,,,,,,,,,
community cluster 573,"['shooting', 'nachhaltigkeit', 'kochen', 'blüten', 'food', 'reading', 'challenge', 'notjustapearlchallenge', 'flowers', 'streetfood', 'gin', 'foodlover', 'art', 'hotel', 'fleisch', 'cooking', 'inspiration', 'schnittlauchblüten', 'genuss', 'travel']",122.0,,,,,,,,,
community cluster 574,"['restaurant', 'spargel', 'kunstausderdose', 'kanada', 'magazine', 'falstaffprofi', 'notjustapearlchallenge', 'team', 'spray', 'hotel', 'teamspirit', 'bestchefs', 'magazin', 'ente', 'ahornsirupauskanada', 'inspiration', 'sustainable', 'kreativegerichte', 'placetobe', 'rolantrettl', 'dose']",46.55,,,,,,,,,
community cluster 575,"['hotellerie', 'cooking', 'lernen', 'milch', 'foodlover', 'travel', 'challenge', 'küche', 'kochen', 'rezept', 'inspiration', 'blog', 'falstaff', 'wanderlust', 'dose', 'genuss', 'gastro']",97.74999999999999,,,,,,,,,
community cluster 576,"['wein', 'vegetarisch', 'foodie', 'share', 'sternekoch', 'vegan', 'vino', 'foodlovers', 'notjustapearlchallenge', 'flowers', '3sternemichelin', 'bestfood', 'nachhaltig', 'foodlover', 'team', 'gemüse', 'foodmarket', 'guidemichelin', 'veggie', 'cocktails', 'genuss']",96.89999999999999,,,,,,,,,
community cluster 577,"['wein', 'share', 'kunst', 'veganfood', 'vegan', 'vino', 'challenge', 'notjustapearlchallenge', 'taste', 'gin', 'nachhaltig', 'art', 'challengeaccepted', 'design', 'inspiration', 'veggie', 'blog', 'wanderlust', 'genuss']",106.05000000000001,,,,,,,,,
community cluster 578,"['paintings', 'vegetarisch', 'share', 'Wieninger', 'Reisetbauer', 'kulinarischereise', 'interieur', 'vegan', 'painting', 'malen', 'notjustapearlchallenge', 'kulinarik', 'Falstaff', 'nachhaltig', 'Lohberger', 'Velich', 'Ott', 'challengeaccepted', 'milch', 'design', 'dose']",54.15,,,,,,,,,
community cluster 579,"['Amador', 'kochen', 'food', 'patisserie', 'tortellini', 'challenge', 'wettbewerb', 'notjustapearlchallenge', 'streetfood', 'gin', 'backen', 'trettl', 'team', 'youngtalents', 'tastekitchen', 'foodmarket', 'falstaffyoungtalents', 'Taste', 'Metro']",49.35,,,,,,,,,
community cluster 580,"['vino', 'bestfood', 'gin', 'nachhaltig', 'cooking', 'foodmarket', 'foodlover', 'wein', 'art', 'team', 'reading', 'vegetarisch', 'veggie', 'gemüse', 'travel', 'vegan', 'taste']",114.99999999999999,,,,,,,,,
community cluster 581,"['streetfood', 'konditorei', 'bestfood', 'cooking', 'milch', 'dessert', 'vegetarisch', 'travel', 'challenge', 'kochen', 'küche', 'nachspeise', 'food', 'holunder', 'gemüse', 'genuss', 'gastro', 'job']",90.2,,,,,,,,,
community cluster 582,"['wein', 'dessert', 'vegetarisch', 'foodie', 'kochen', 'food', 'vino', 'gastronomie', 'gastro', 'bestfood', 'nachhaltig', 'foodlover', 'nachspeise', 'holunder', 'challengeaccepted', 'job', 'foodmarket', 'veggie', 'cocktails']",88.2,,,,,,,,,
community cluster 583,"['wein', 'konditorin', 'vegetarisch', 'kochen', 'share', 'vegan', 'vino', 'konditorei', 'foodlovers', 'challenge', 'falstaffyoungtalentscup', 'notjustapearlchallenge', 'nachhaltig', 'foodlover', 'küche', 'gemüse', 'cooking', 'milch', 'falstaffytc']",88.2,,,,,,,,,
community cluster 584,"['süssesbusiness', 'bartenderlife', 'shaking', 'restaurant', 'gastronomie', 'desserts', 'magazine', 'notjustapearlchallenge', 'bartenderslife', 'gastro', 'bar', 'shaken', 'zuckerbäcker', 'bäckerin', 'competition', 'bäcker', 'magazin', 'süssigkeiten', 'barkeeper', 'konditor']",39.0,,,,,,,,,
community cluster 585,"['hotellerie', 'magazin', 'lernen', 'foodlover', 'gastronomie', 'restaurant', 'falstaff', 'magazine', 'notjustapearlchallenge', 'gastro', 'challengeaccepted']",60.9,,,,,,,,,
community cluster 586,"['patissier', 'bestfood', 'foodlover', 'dessert', 'milch', 'vegetarisch', 'gastronomie', 'nachspeise', 'veggie', 'challengeaccepted', 'himbeeren', 'holunder', 'gemüse', 'notjustapearlchallenge', 'gemüseküche', 'vegan', 'job']",74.75,,,,,,,,,
community cluster 587,"['takeit', 'takeyourchance', 'youngtalentscup', 'bewerb', 'zukunft', 'service', 'chance', 'notjustapearlchallenge', 'gastgeber', 'jury', 'küche', 'tollepreise', 'karriereturbo', 'preise', 'cooking', 'future', 'talents', 'talente', 'karriere', 'sommelier', 'sommelierlife']",29.45,,,,,,,,,
community cluster 588,"['vino', 'bestfood', 'nachhaltig', 'cooking', 'wein', 'milch', 'dessert', 'vegetarisch', 'foodie', 'küche', 'share', 'veggie', 'nachspeise', 'cocktails', 'vegan', 'job']",88.8,,,,,,,,,
community cluster 589,"['hotellerie', 'restaurant', '11ermini', 'ytc2021', 'fußabdruck', 'apps', '11errösti', 'magazine', 'notjustapearlchallenge', '11ergenusswelt', 'bestfood', 'falstaff', 'gemüse', 'foodphotopraphy', 'tagdernachhaltigkeit', 'magazin', 'cooking', 'toogoodtogo', 'recup', '11erröstilovers']",41.0,,,,,,,,,
community cluster 590,"['sommercocktails', 'vegetarian', 'goodtoknow', 'foodie', 'restaurant', 'veganfood', 'checkitout', 'sustainability', 'foodlovers', 'unusualfood', 'career', 'notjustapearlchallenge', 'essensliebhaber', 'nachhaltig', 'blutlimette', 'hotel', 'blut', 'specialfood', 'foodschool', 'placetobe', 'cocktails']",54.15,,,,,,,,,
community cluster 591,"['vino', 'nachhaltig', 'milch', 'dessert', 'vegetarisch', 'foodie', 'vitaminsea', 'share', 'nachspeise', 'veggie', 'cocktails', 'wanderlust', 'wine', 'podcast', 'vegan', 'job']",92.39999999999999,,,,,,,,,
community cluster 592,"['frisch', 'rezepte', 'hitze', 'genuss', 'milch', 'wasser', 'vegetarisch', 'weekend', 'tea', 'veggie', 'holunder', 'zitrone', 'icedtea', 'austria', 'lemon', 'mate', 'vegan']",123.05,,,,,,,,,
community cluster 593,"['vino', 'magazin', 'nachhaltig', 'foodlover', 'foodie', 'comment', 'bestFoodFotoChallenge21', 'share', 'foodphotography', 'profisgegenverrschwendung', 'restaurant', 'placetobe', 'hotel', 'cocktails', 'wanderlust', 'notjustapearlchallenge', 'travel', 'challengeaccepted']",91.30000000000001,,,,,,,,,
community cluster 594,"['vienna', 'coffeelover', 'salzburg', 'coffeetime', 'coffee', 'visitsalzburg', 'foodie', 'igerssalzburg', 'cocktails', 'salzburgaustria', 'travel', 'veganfood']",110.6,,,,,,,,,
community cluster 595,"['wein', 'restaurant', 'ReadyForRestart', '11erChallenge21', 'like', 'winzer', 'WorldClassMoments', 'vino', 'vitaminsea', 'notjustapearlchallenge', 'wine', 'hapaglloydcruises', 'hotel', '11erChallenge', 'seachefs', 'redcenterlime', 'placetobe', 'fernweh', 'wanderlust', 'jobsonboard', 'sommelierunion']",44.65,,,,,,,,,
