username,like_linda,like_karl_peter,like_sandy,like_kevin,like_martin,like_claudia,like_best_cluster_of_all,like_best_cluster_of_top_20,used_hashtags
fifi,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#VisitUganda', '#RespectForDiversity', '#MTVMAMA', '#Uganda', '#VoteKyagulanyi', '#WeAreRemovingADictator', '#𝕄𝕒𝕥𝕦𝕟𝕕𝕒𝕄𝕒𝕟', '#TITAN', '#Wellness', '#GreatService', '#StopKillingUs', '#UgandaIsBleeding', '#bringbackourpeople', '#gratitude', '#Gratitude', '#40DayMentor', '#HandmaidsTale', '#TheOvalOnBET', '#NewProfilePic']"
keem,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#freefoo', '#Culture3', '#OTD', '#1', '#2', '#LakeShow']"
fangirl,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216",[]
BscoreBcj,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216",[]
hopfendeli,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#Bier', '#Strandbier', '#promisprivat', '#Duschbier', '#hopfendelikatessen', '#hopfennews', '#Euroflasche', '#1', '#impfluencer']"
Marsya195412491,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216",[]
TongyaoGOAT,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#gold', '#ArtisticGymnastics', '#Tokyo2020', '#UnitedByEmotion', '#StrongerTogether']"
AtoyebiTimileh3,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216",[]
BesigwaL,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#your', '#omwavu']"
fasil4646,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216",[]
ClarifyXplosive,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#PepsiROY', '#scam', '#UseCodeBugha', '#Fortnite', '#FortniteArt', '#FortniteZeroPoint', '#FortniteSeason5', '#HeartsWild', '#HappyValentinesDay', '#FreePC', '#FrontlineFinalsLive', '#sweepstakes', '#InnocentUntilProvenGuilty', '#Overrated', '#DeliriumHauxy', '#fortnite', '#fortniteart', '#fortnitecreative', '#fortniteskinconcept', '#fortnitefanart', '#1', '#NewProfilePic', '#GrindTo200', '#pride', '#IAmNorCal', '#DNP3', '#PokemonGoRaids', '#PokeRaidApp', '#PokemonGoAway', '#FL3OverYou', '#ConceptRoyaleContest', '#FortniteConcepts', '#FortniteFanArt']"
goaliemomjams,0.0%,0.0%,0.0%,0.0%,0.0%,14.29%,,"5.56%, Cluster: community cluster 153","['#MyTwitterAnniversary', '#ImpeachmentTrial', '#GoldenGlobes', '#callyourmother', '#1', '#MatchDay2021', '#VoteBlue2022', '#Woke', '#DCStatehood', '#DemCast', '#NHL', '#VegasBorn', '#JaredKushner', '#foryourpride', '#mondayvibes', '#COVID19', '#Henri', '#canada', '#nature', '#yikes']"
BigCheeseKIT,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#CyberShadow', '#RingFitAdventure', '#StreamerBowl2', '#BringBackKI', '#Sponsored', '#GFNThursday', '#GeForceNOW', '#FacebookGaming', '#SuperMario35', '#Ad', '#ad', '#PowerGPU', '#StardewValley', '#SDV', '#CheeseCrust', '#Petite', '#PermaBulk', '#Gainz', '#BarbieAintGotNothinOnMe', '#THICC', '#HeatNation', '#HappyBdayVerzuz', '#VERZUZ', '#MJInnocent', '#mjinnocent', '#mjvindicated', '#justiceformj', '#GAFAM', '#SuperMarioParty', '#BringUsSomeChicken', '#goals', '#NARAKABLADEPOINT', '#SimpinAintEasy', '#verzuz', '#pacman99', '#StrokeSurvivor', '#Tokyo2020', '#KingRichard', '#HaloInfinite', '#PokemonUNITE', '#Creators4BIPOC', '#ADayOffTwitch', '#LiveRangerously', '#VooDooPartner', '#Splitgate', '#MetroidDread', '#Party1']"
RedwoodKadian,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#yohanblake', '#Jamaica', '#Athletics', '#Tokyo2020', '#Olympics2020', '#blake']"
prek,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#teacher', '#teachertwitter', '#pln', '#BacktoSchool2021', '#clearthelist', '#SaturdayThoughts', '#spreadloveandlovewillspread', '#CodeBreaker', '#positive', '#quotes', '#ThinkBIGSundayWithMarsha', '#leadership', '#parenting', '#playoutdoors', '#Spanish', '#bilingualteacher', '#Manifest']"
mix,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216",[]
Tostitos,0.0%,16.67%,0.0%,11.11%,0.0%,0.0%,,"5.88%, Cluster: community cluster 955","['#wheresallthequeso', '#FirstWorldProblems', '#NationalPizzaDay', '#SBLV', '#yummymondays', '#ForTheLoveOfChipsAndDip', '#ad', '#LetsSummer', '#tostitos', '#TostitosBuyTheDip', '#buythedip', '#FathersDay', '#Tostitos', '#Food', '#habanero', '#ChipDipSip', '#sweepstakes', '#1', '#FridayThe13th', '#disappointed', '#dobetter']"
Amyllllll,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#Thailand', '#Malaysia']"
lisamarie,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216",[]
DipuVer57666860,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216",[]
dancesherbear,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216",[]
GHOSTKNIGHT2751,0.0%,16.67%,0.0%,11.11%,0.0%,0.0%,,"5.88%, Cluster: community cluster 955","['#MinecraftDungeons', '#gaming', '#twitchstreamer', '#ApexLegends', '#PS4live', '#NTWEWY', '#Food', '#XboxGamePassUltimate', '#weightlifting', '#ScarletNexus', '#Twitch', '#Youtube', '#SmallStreamersConnect', '#SupportSmallStreamers', '#SmallStreamersCommunity', '#CashAppFriday']"
