community_clusters,hashtags_of_community_clusters,score_of_community_clusters,silhouette_score_of_community_cluster
community cluster 143,"['sunshine', 'flowers', 'summervibes', 'citylife', 'marryicetea', 'fun', 'motivation', 'sunglasses']",72.0,-0.15359477124183002
community cluster 144,"['schöckl', 'family', 'kumberg', 'natur', 'graz', 'schlossberg', 'diy']",37.125,-0.023255813953488413
community cluster 145,"['weihnachten', 'music', 'family', 'nacht', 'natur', 'graz', 'diy']",42.75,-0.03174603174603183
community cluster 146,"['musik', 'concert', 'natur', 'bestteam', 'graz', 'schlossberg', 'artist', 'rain']",26.0,-0.1317829457364342
community cluster 147,"['silvester', 'music', 'muttertag', 'österreich', 'love', 'nacht', 'xmas', 'geschenk']",55.0,-0.03636363636363635
community cluster 148,"['maintenance', 'ameizing', 'graz', 'loveislove', 'sommernachgespräche', 'schlossberg', 'promotion', 'welschlauf']",14.0,-0.13513513513513517
community cluster 149,"['gmunden', 'wien', 'concert', 'ameizing', 'vienna', 'business', 'summer', 'pizzeraundjaus']",37.0,-0.021739130434782532
community cluster 150,"['lovewhatwedo', 'styria', 'bestteam', 'ameizing', 'loveourjob', 'eventants', 'culture', 'rain']",25.0,0.05405405405405403
community cluster 151,"['pride', 'events', 'ameizing', 'vienna', 'goodtimes', 'holidays', 'summer', 'gala']",34.0,-0.23809523809523814
community cluster 152,"['silviawolfsgruber', 'exhibition', 'ameizing', 'badaussee', 'formulaone', 'motorsport', 'artandfriends', 'formel1']",9.0,0.0
community cluster 153,"['office', 'spitalkirche', 'administration', 'generaliopen', 'ameizing', 'kitzbühel', 'business', 'artist']",16.0,-0.31034482758620696
community cluster 154,"['tennis', 'atptenniskitzbühel', 'healthylifestyle', 'ameizing', 'atp', 'sports', 'soccer', 'stayhealthy']",20.0,-0.2807017543859649
community cluster 155,"['abbau', 'takecareofyourself', 'ameizing', 'boss', 'constructionwork', 'aufbau', 'atpworldtour', 'oberameise']",9.0,-0.37704918032786877
community cluster 156,"['sekretöse', 'networking', 'antsboss', 'dervierender', 'ameizing', 'bruckandermur', 'weinerei', 'catsday']",12.0,-0.1451612903225807
community cluster 157,"['beachvolleyball', 'ameizing', 'winzer', 'baderhaus', 'meinausseerland', 'weinereiimbaderhaus', 'viennamajor', 'art']",20.0,0.0
community cluster 158,"['wien', 'alpenverein', 'styria', 'constructiondays', 'em', 'ameizing', 'tagung', 'meeting']",33.0,-0.44097222222222215
community cluster 159,"['vienna', 'graz', 'goodtimes', 'holidays', 'business', 'summer', 'stayhealthy', 'art']",49.0,-0.3594771241830065
community cluster 160,"['wien', 'styria', 'vienna', 'goodtimes', 'holidays', 'summer']",66.25,-0.3154761904761904
community cluster 161,"['networking', 'events', 'goodtimes', 'holidays', 'business', 'sports', 'summer', 'stayhealthy']",32.0,-0.12121212121212116
community cluster 162,"['pride', 'styria', 'graz', 'goodtimes', 'holidays', 'summer', 'art']",46.125,-0.1152073732718895
community cluster 163,"['pride', 'graz', 'goodtimes', 'holidays', 'sports', 'business', 'stayhealthy']",31.5,-0.2781954887218045
community cluster 164,"['office', 'pride', 'healthylifestyle', 'graz', 'loveislove', 'business', 'sports', 'artist']",21.0,-0.1666666666666666
community cluster 165,"['wien', 'networking', 'styria', 'healthylifestyle', 'graz', 'loveislove', 'stayhealthy', 'art']",54.0,-0.5121212121212121
community cluster 166,"['wien', 'styria', 'healthylifestyle', 'business', 'sports', 'art']",61.25,-0.46759259259259256
community cluster 167,"['wien', 'networking', 'styria', 'healthylifestyle', 'stayhealthy', 'art']",65.0,-0.5436507936507936
community cluster 168,"['wien', 'networking', 'family', 'styria', 'relax', 'beautiful', 'motivation', 'art']",75.0,-0.39015151515151514
community cluster 169,"['adventuretime', 'family', 'styria', 'memories', 'happiness', 'girlswithglasses', 'winzer', 'art']",58.0,-0.1794871794871795
community cluster 170,"['inspiration', 'werbung', 'productdesign', 'iphone', 'greenscreen', 'graz', 'musicvideo', 'creative']",27.0,-0.09230769230769235
community cluster 171,"['cheersrost', 'inspiration', 'mountains', 'shoot', 'graz', 'coffee', 'austria']",37.125,-0.15902964959568736
community cluster 172,"['inspiration', 'onset', 'greenscreen', 'iphone', 'studio', 'musicvideo', 'austria', 'creative']",24.0,0.019933554817275677
community cluster 173,"['cheersrost', 'inspiration', 'winter', 'igersgraz', 'motivation', 'coffee', 'austria', 'igersaustria']",74.0,-0.16129032258064518
community cluster 174,"['inspiration', 'onset', 'shoot', 'greenscreen', 'studio', 'musicvideo', 'igersgraz']",49.5,-0.045822102425876046
community cluster 175,"['home', 'tb', 'happiness', 'nature', 'graz', 'sunset', 'motivation', 'sofree']",56.0,-0.15789473684210534
community cluster 176,"['goodvibes', 'happiness', 'citylife', 'graz', 'sofresh', 'awareness', 'igersgraz', 'austria']",48.0,-0.05555555555555559
community cluster 177,"['blackouttuesday', 'winter', 'vibes', 'happiness', 'carlover', 'vibe', 'fun', 'sunglasses']",42.0,-0.08791208791208788
community cluster 178,"['cargirl', 'throwback', '2k19', 'happiness', 'nature', 'cold', 'winterwonderland', 'sofree']",51.0,-0.1886792452830188
community cluster 179,"['bmw', 'tb', 'mountains', 'happiness', 'breathtakingviews', 'vacation', 'luxury', 'newfamilymember']",44.0,-0.48437499999999994
community cluster 180,"['traveling', 'relax', 'austin', 'happiness', 'achieverofunrealisticshit', 'beautiful', 'vacationmode', 'sofresh']",44.0,-0.3582089552238805
community cluster 181,"['goodvibes', 'flowers', 'carlover', 'graz', 'sofresh', 'awareness', 'vibe', 'austria']",27.0,0.0
community cluster 182,"['blackouttuesday', 'cargirl', 'throwback', 'home', 'summervibes', 'sofresh', 'croatia', 'mindset']",55.0,-0.08791208791208788
community cluster 183,"['tb', 'mountains', 'breathtakingviews', 'nature', 'vacation', 'sofresh', 'newfamilymember', 'sofree']",51.0,-0.4920634920634921
community cluster 184,"['goodvibes', 'family', 'bmw', 'styria', 'roadtrip', 'achieverofunrealisticshit', 'luxury', 'sofresh']",46.0,-0.26086956521739135
community cluster 185,"['catlover', 'goodvibes', 'flowers', 'citylife', 'graz', 'igersgraz', 'austria', 'igersaustria']",63.0,-0.1886792452830188
community cluster 186,"['goodvibes', 'summervibes', 'sunnyday', 'carlover', 'vibe', 'awareness', 'naturelovers', 'mindset']",49.0,-0.03773584905660376
community cluster 187,"['blackouttuesday', 'winter', 'goodvibes', 'vibes', 'home', 'marryicetea', 'cat', 'sunglasses']",40.0,-0.06741573033707855
community cluster 188,"['cargirl', 'throwback', 'goodvibes', 'nature', 'winterwonderland', 'cold', 'croatia', 'sofree']",55.0,-0.1886792452830188
community cluster 189,"['goodvibes', 'hikingadventures', 'tb', 'breathtakingviews', 'mountains', 'sunset', 'vacation', 'newfamilymember']",51.0,-0.26086956521739135
community cluster 190,"['adventuretime', 'goodvibes', 'family', 'austin', 'styria', 'traveling', 'luxury', 'memories']",50.0,-0.14666666666666664
community cluster 191,"['presents', 'goodvibes', 'relax', 'roadtrip', 'beach', 'colours', 'beautiful', 'vacationmode']",48.0,-0.1785714285714286
community cluster 192,"['goodvibes', 'flowers', 'carlover', 'graz', 'achieverofunrealisticshit', 'awareness', 'vibe', 'austria']",27.0,-0.22727272727272732
community cluster 193,"['adventuretime', 'family', 'traveling', 'styria', 'springevenings', 'motherofcats', 'roadtrip', 'austria']",40.0,-0.14666666666666664
community cluster 194,"['flowers', 'citylife', 'carlover', 'graz', 'igersgraz', 'awareness', 'naturelovers', 'igersaustria']",63.0,-0.1886792452830188
community cluster 195,"['summervibes', 'sunnyday', 'marryicetea', 'graz', 'vibe', 'fun', 'sunglasses', 'mindset']",55.0,-0.2295081967213114
community cluster 196,"['winter', 'cargirl', 'throwback', 'lend', 'babyitscoldoutside', 'graz', 'christmastime', 'winterwonderland']",31.0,-0.47619047619047616
community cluster 197,"['2k19', 'hikingadventures', 'summerbody', 'graz', 'vacation', 'cold', 'croatia', 'sofree']",35.0,-0.2962962962962963
community cluster 198,"['supporteachother', 'bmw', 'austin', 'breathtakingviews', 'brand', 'graz', 'luxury', 'newfamilymember']",14.0,-0.0693069306930693
community cluster 199,"['presents', 'adventuretime', 'growth', 'traveling', 'relax', 'graz', 'roadtrip', 'christmastree']",28.0,-0.16363636363636364
