community_clusters,hashtags_of_community_clusters,score_of_community_clusters,silhouette_score_of_community_cluster
community cluster 2225,"['local', 'proud', 'natur', 'marryicetea', 'startup', 'regional', 'berries', 'urban']",56.0,-0.18604651162790703
community cluster 2226,"['refresh', 'fresh', 'tasty', 'marryicetea', 'startuplife', 'verrücktnachbarry', 'marry', 'organic']",41.0,-0.309090909090909
community cluster 2227,"['refresh', 'family', 'refreshing', 'familytime', 'icedtea', 'drink', 'newdrink', 'berries']",40.0,-0.09523809523809519
community cluster 2228,"['refresh', 'local', 'styria', 'fresh', 'tasty', 'refreshing', 'marry', 'picture']",48.0,0.049999999999999975
community cluster 2229,"['refreshing', 'tasty', 'familytime', 'startuplife', 'startup', 'snapshot', 'picture', 'berries']",46.0,-0.1803278688524589
community cluster 2230,"['neues', 'styria', 'lieblingsmensch', 'langeweile', 'beauty', 'berries']",36.25,-0.24242424242424238
community cluster 2231,"['fresh', 'tasty', 'newdrink', 'graz', 'icedtea', 'marry', 'austria', 'lieblingsmensch']",25.0,-0.23913043478260868
community cluster 2232,"['family', 'fresh', 'handmade', 'goals', 'motivation', 'shooting', 'berries', 'urban']",49.0,-0.2511627906976745
community cluster 2233,"['styria', 'productshot', 'notserious', 'grimaces', 'humour', 'berries']",31.25,-0.3061224489795919
community cluster 2234,"['styria', 'productshot', 'natur', 'startup', 'icedtea', 'dontworrybemarry', 'regional', 'funatwork']",52.0,-0.3584905660377359
community cluster 2235,"['berrydrink', 'styria', 'haidenspass', 'dontworrybemarry', 'aeijst', 'funatwork', 'berries']",29.25,-0.12698412698412703
community cluster 2236,"['family', 'local', 'cheers', 'icedtea', 'drink', 'newdrink']",42.5,-0.2333333333333334
community cluster 2237,"['styria', 'natur', 'tasty', 'marry', 'passion', 'newdrink', 'aeijst', 'regional']",48.0,-0.15000000000000008
community cluster 2238,"['local', 'styria', 'somethingnew', 'wodka', 'passion', 'newdrink', 'alcohol', 'berries']",36.0,-0.25531914893617025
community cluster 2239,"['styria', 'natur', 'somethingnew', 'drinking', 'startup', 'thinkdifferent', 'teamwork', 'austria']",45.0,-0.32000000000000006
community cluster 2240,"['styria', 'drinking', 'deliciousdrink', 'business', 'thinkdifferent', 'teamwork', 'berries', 'urban']",36.0,-0.4035087719298246
community cluster 2241,"['family', 'foodlover', 'proud', 'startup', 'business', 'motivation', 'teamwork']",58.5,-0.3100000000000001
community cluster 2242,"['family', 'local', 'styria', 'natur', 'cheers', 'startup', 'marry', 'regional']",71.0,-0.17435897435897438
community cluster 2243,"['friendshipgoals', 'family', 'tasty', 'cheers', 'youngandurban', 'perfectmoment', 'drink']",45.0,-0.23076923076923078
community cluster 2244,"['natur', 'startuplife', 'verrücktnachbarry', 'business', 'snapshot', 'drink', 'picture']",37.125,-0.3333333333333333
community cluster 2245,"['shadows', 'styria', 'haidi', 'shadow', 'collaboration', 'berries']",32.5,0.11739130434782608
community cluster 2246,"['styria', 'haha', 'perfectmatch', 'shadow', 'instarunners', 'drink', 'marry', 'regional']",36.0,-0.27659574468085113
community cluster 2247,"['family', 'local', 'familytime', 'drink', 'cooking', 'chocolate', 'berries']",47.25,-0.18823529411764717
community cluster 2248,"['haha', 'proud', 'perfectmatch', 'startuplife', 'instarunners', 'motivation', 'berries', 'urban']",28.0,-0.4210526315789473
community cluster 2249,"['styria', 'fresh', 'verrücktnachbarry', 'goals', 'motivation', 'austria', 'berries', 'urban']",45.0,-0.2916666666666667
community cluster 2250,"['family', 'fresh', 'handmade', 'verrücktnachbarry', 'youngandurban', 'perfectmoment', 'goals', 'marry']",34.0,-0.44482758620689666
community cluster 2251,"['bromance', 'reflections', 'styria', 'bestcousin', 'berries', 'eating']",31.25,-0.12891986062717758
community cluster 2252,"['keepsmiling', 'friendshipgoals', 'foodlover', 'regional', 'startup', 'cooking', 'organic', 'urban']",58.0,-0.1
community cluster 2253,"['keepsmiling', 'friendshipgoals', 'chappi', 'styria', 'knödelmitei', 'chocolate', 'delicious', 'eating']",34.0,-0.030769230769230847
community cluster 2254,"['foodporn', 'local', 'foodlover', 'proud', 'startuplife', 'startup', 'berries']",60.75,-0.1818181818181818
community cluster 2255,"['friendshipgoals', 'family', 'foodlover', 'familytime', 'verrücktnachbarry', 'knödelmitei', 'delicious', 'berries']",44.0,-0.2134831460674157
community cluster 2256,"['hobbycooking', 'keepsmiling', 'chappi', 'styria', 'newphew', 'delicious', 'berries']",34.875,0.009132420091324167
community cluster 2257,"['cute', 'friendshipgoals', 'family', 'local', 'familytime', 'chocolate', 'delicious', 'berries']",46.0,-0.4339622641509434
community cluster 2258,"['cute', 'styria', 'local', 'uncle', 'familytime', 'chocolate', 'berries']",47.25,-0.26530612244897955
community cluster 2259,"['keepsmiling', 'family', 'organic', 'proud', 'startuplife', 'startup', 'regional', 'urban']",53.0,-0.045454545454545484
community cluster 2260,"['keepsmiling', 'familytime', 'graz', 'startuplife', 'startup', 'snapshot', 'austria', 'urban']",33.0,-0.05970149253731341
community cluster 2261,"['tasty', 'familytime', 'concentration', 'marry', 'freshdrink', 'picture', 'berries', 'creative']",29.0,-0.3411764705882353
community cluster 2262,"['cute', 'local', 'styria', 'mmmmh', 'chocolatelover', 'lesssugar', 'berries', 'bestnephew']",37.0,-0.38775510204081637
community cluster 2263,"['effects', 'smile', 'shakeshakeshake', 'videodreh', 'gutaufgelegt', 'magic', 'videoeffects', 'berries']",17.0,-0.1272727272727273
community cluster 2264,"['bff', 'cooldrinks', 'urban', 'shake', 'berry', 'regional', 'marrymindset', 'berries']",23.0,-0.32653061224489793
community cluster 2265,"['proud', 'natur', 'experiment', 'ingredients', 'startup', 'snapshot', 'yasmintee', 'berries']",39.0,-0.2857142857142857
community cluster 2266,"['keepsmiling', 'schaufenster', 'graz', 'random', 'startuplife', 'puzzle', 'advertisement', 'berries']",17.0,-0.11267605633802813
community cluster 2267,"['berrys', 'products', 'togetherisbetter', 'herrengassegraz', 'productdesign', 'newcustomer', 'berries', 'berrylove']",14.0,-0.3275862068965518
community cluster 2268,"['cooperation', 'bigeyes', 'erhatdiehaareschön', 'marryKunde', 'barbershop', 'drinklocal', 'drinkandfun', 'berries']",14.0,-0.15068493150684928
community cluster 2269,"['wholefruit', 'juicy', 'tasty', 'secret', 'verrücktnachbarry', 'delicous', 'drinkthis', 'berries']",21.0,-0.10294117647058824
community cluster 2270,"['handmadewithlove', 'entrepreneur', 'trinkenhilft', 'local', 'grimace', 'youngandurban', 'perfectmoment', 'berries']",21.0,-0.09090909090909084
community cluster 2271,"['local', 'styria', 'natur', 'fresh', 'graz', 'startuplife', 'snapshot', 'picture']",47.0,-0.20454545454545453
community cluster 2272,"['local', 'styria', 'schaufenster', 'productdesign', 'tasty', 'concentration', 'marry', 'creative']",38.0,-0.3636363636363636
community cluster 2273,"['effects', 'styria', 'mmmmh', 'chocolatelover', 'magic', 'lesssugar', 'chocolate', 'bestnephew']",24.0,-0.15789473684210525
community cluster 2274,"['cooldrinks', 'styria', 'shake', 'shakeshakeshake', 'videodreh', 'gutaufgelegt', 'videoeffects', 'regional']",30.0,-0.18571428571428578
community cluster 2275,"['bff', 'styria', 'proud', 'startup', 'berry', 'yasmintee', 'marrymindset', 'urban']",40.0,-0.2978723404255319
community cluster 2276,"['styria', 'experiment', 'ingredients', 'startuplife', 'random', 'advertisement', 'snapshot', 'organic']",34.0,-0.3703703703703704
community cluster 2277,"['keepsmiling', 'styria', 'products', 'herrengassegraz', 'fresh', 'puzzle', 'freshdrink', 'picture']",31.0,-0.045454545454545484
community cluster 2278,"['berrys', 'erhatdiehaareschön', 'styria', 'togetherisbetter', 'marryKunde', 'barbershop', 'newcustomer', 'berrylove']",22.0,-0.35000000000000003
community cluster 2279,"['blackberries', 'gin', 'cooperation', 'bigeyes', 'styria', 'glassbottle', 'vegandrink', 'somethingaboutmarry']",27.0,-0.0666666666666666
community cluster 2280,"['wholefruit', 'styria', 'juicy', 'secret', 'verrücktnachbarry', 'delicous', 'drinkandfun', 'drinkthis']",23.0,-0.11594202898550737
community cluster 2281,"['handmadewithlove', 'entrepreneur', 'styria', 'trinkenhilft', 'grimace', 'getränke', 'youngandurban', 'handmade']",29.0,-0.021739130434782532
community cluster 2282,"['popmusic', 'singer', 'styria', 'newmusic', 'graz', 'perfectmoment', 'austria', 'musiclife']",25.0,-0.09803921568627452
community cluster 2283,"['cute', 'keepsmiling', 'tasty', 'getränke', 'youngandurban', 'chocolate', 'regional']",36.0,-0.45288753799392095
community cluster 2284,"['cooldrinks', 'natur', 'fresh', 'graz', 'sunset', 'snapshot', 'marry', 'regional']",39.0,-0.12307692307692321
community cluster 2285,"['gin', 'vegandrink', 'proud', 'fresh', 'graz', 'startuplife', 'regional', 'urban']",30.0,-0.3119658119658119
community cluster 2286,"['proud', 'startuplife', 'startup', 'verrücktnachbarry', 'snapshot', 'austria', 'picture', 'urban']",33.0,-0.33962264150943394
community cluster 2287,"['proud', 'fresh', 'tasty', 'getränke', 'verrücktnachbarry', 'startup', 'youngandurban', 'marry']",41.0,-0.33962264150943394
community cluster 2288,"['gin', 'vegandrink', 'proud', 'graz', 'startuplife', 'austria', 'organic']",23.625,-0.3611111111111111
community cluster 2289,"['vegandrink', 'proud', 'tasty', 'startuplife', 'sunset', 'youngandurban', 'snapshot', 'organic']",38.0,-0.18333333333333332
community cluster 2290,"['natur', 'fresh', 'sunset', 'youngandurban', 'snapshot', 'marry', 'organic']",45.0,-0.16666666666666666
community cluster 2291,"['gin', 'vegandrink', 'graz', 'getränke', 'verrücktnachbarry', 'youngandurban', 'handmade', 'organic']",25.0,-0.5121212121212121
community cluster 2292,"['tasty', 'graz', 'startuplife', 'verrücktnachbarry', 'snapshot', 'picture']",25.0,-0.38461538461538464
community cluster 2293,"['keepsmiling', 'fresh', 'tasty', 'youngandurban', 'marry', 'spring']",37.5,-0.08163265306122455
community cluster 2294,"['muttertag', 'cinema', 'summervibes', 'fresh', 'familie', 'natur', 'marry', 'localbusiness']",53.0,-0.19322033898305088
community cluster 2295,"['vegandrink', 'getränke', 'gin']",14.625,0.125
community cluster 2296,"['popmusic', 'music', 'singer', 'vocalist', 'newmusic', 'vienna', 'pop', 'hannakristall']",34.0,0.08000000000000008
community cluster 2297,"['streetstyle', 'cover', 'igersvienna', 'citylife', 'newmusic', 'weekendvibes', 'igersaustria', 'urban']",47.0,-0.1884057971014493
community cluster 2298,"['loveit', 'popmusic', 'singer', 'vocalist', 'newmusic', 'vienna', 'steiermark', 'quarantine']",44.0,-0.20833333333333326
community cluster 2299,"['popmusic', 'music', 'singer', 'womensday', 'vocalist', 'vienna', 'pop', 'hannakristall']",36.0,-0.08000000000000008
community cluster 2300,"['urbanjungle', 'popmusic', 'femaleartist', 'rollsroyce', 'cover', 'citylife', 'vocals', 'musicvideo']",21.0,-0.084507042253521
community cluster 2301,"['popmusic', 'streetstyle', 'travel', 'igersvienna', 'steiermark', 'weekendvibes', 'igersaustria', 'urban']",72.0,-0.3030303030303031
community cluster 2302,"['music', 'travel', 'liveperformance', 'birthday', 'citylife', 'familytime', 'musicvideo', 'musiclife']",45.0,-0.30769230769230765
community cluster 2303,"['musicians', 'travel', 'paradise', 'familytime', 'relaxing', 'livemusic', 'stayhealthy']",45.0,-0.19327731092436978
community cluster 2304,"['music', 'throwback', 'stayhome', 'birthday', 'sunday', 'familytime', 'vienna', 'igersaustria']",68.0,-0.30769230769230765
community cluster 2305,"['singer', 'paradise', 'vocalist', 'familytime', 'steiermark', 'vienna', 'weekendvibes', 'austria']",52.0,-0.3888888888888889
community cluster 2306,"['music', 'musicians', 'liveperformance', 'citylife', 'vienna', 'livemusic', 'musicvideo', 'musiclife']",39.0,-0.18181818181818174
community cluster 2307,"['loveit', 'liveperformance', 'pop', 'weekendvibes', 'hannakristall', 'austria', 'musiclife']",21.375,-0.3736263736263736
community cluster 2308,"['music', 'singer', 'womensday', 'liveperformance', 'vocalist', 'vienna', 'pop', 'hannakristall']",36.0,-0.36842105263157887
community cluster 2309,"['wienliebe', 'urbanjungle', 'femaleartist', 'influencer', 'rollsroyce', 'citylife', 'vienna', 'musicvideo']",34.0,-0.0535714285714286
community cluster 2310,"['musicians', 'singer', 'cover', 'vienna', 'relaxing', 'livemusic', 'igersaustria', 'urban']",47.0,-0.09433962264150945
community cluster 2311,"['music', 'femaleartist', 'singer', 'womensday', 'vocalist', 'vocals', 'pop', 'hannakristall']",24.0,-0.320754716981132
community cluster 2312,"['urbanjungle', 'rollsroyce', 'singer', 'streetstyle', 'igersvienna', 'citylife', 'musicvideo', 'urban']",30.0,0.0
community cluster 2313,"['music', 'femaleartist', 'womensday', 'vocalist', 'vocals', 'pop', 'hannakristall', 'musicvideo']",26.0,-0.30769230769230765
community cluster 2314,"['urbanjungle', 'rollsroyce', 'streetstyle', 'cover', 'vocalist', 'citylife', 'igersvienna', 'igersaustria']",39.0,-0.084507042253521
community cluster 2315,"['loveit', 'music', 'vocalist', 'pop', 'hannakristall', 'austria', 'urban']",23.625,-0.14285714285714277
community cluster 2316,"['music', 'musicians', 'womensday', 'liveperformance', 'citylife', 'pop', 'musicvideo', 'livemusic']",29.0,-0.217391304347826
community cluster 2317,"['urbanjungle', 'femaleartist', 'rollsroyce', 'citylife', 'vocals', 'pop', 'hannakristall', 'musicvideo']",21.0,-0.09722222222222221
community cluster 2318,"['streetstyle', 'cover', 'igersvienna', 'pop', 'hannakristall', 'igersaustria']",40.0,-0.21568627450980388
community cluster 2319,"['urbanjungle', 'music', 'femaleartist', 'rollsroyce', 'womensday', 'vocals', 'hannakristall', 'musicvideo']",26.0,-0.084507042253521
community cluster 2320,"['music', 'musicians', 'streetstyle', 'cover', 'citylife', 'hannakristall', 'livemusic', 'igersaustria']",41.0,-0.2941176470588235
community cluster 2321,"['music', 'femaleartist', 'rollsroyce', 'womensday', 'birthday', 'sunday', 'vocals', 'musicvideo']",34.0,-0.26530612244897955
community cluster 2322,"['urbanjungle', 'music', 'womensday', 'streetstyle', 'cover', 'igersvienna', 'citylife', 'igersaustria']",47.0,-0.09722222222222221
community cluster 2323,"['femaleartist', 'rollsroyce', 'womensday', 'igersvienna', 'vocals', 'weekendvibes', 'musicvideo', 'urban']",32.0,-0.0684931506849316
community cluster 2324,"['loveit', 'wienliebe', 'femaleartist', 'influencer', 'womensday', 'vocals', 'austria']",18.0,-0.25974025974025966
community cluster 2325,"['urbanjungle', 'femaleartist', 'rollsroyce', 'cover', 'citylife', 'vocals', 'musicvideo', 'igersaustria']",34.0,-0.09722222222222221
community cluster 2326,"['femaleartist', 'influencer', 'streetstyle', 'paradise', 'igersvienna', 'weekendvibes', 'urban']",34.875,-0.05990783410138262
community cluster 2327,"['influencer', 'inspiration', 'stayhealthy', 'sunday', 'covid_19', 'relaxing', 'holidaymood', 'igersaustria']",50.0,-0.0895522388059702
community cluster 2328,"['wienliebe', 'corona', 'inspiration', 'throwback', 'birthday', 'sunday', 'covid19']",51.75,-0.12637362637362634
community cluster 2329,"['wienliebe', 'hiking', 'stayhome', 'stayhealthy', 'birthday', 'sunday', 'steiermark', 'quarantine']",53.0,-0.08620689655172425
community cluster 2330,"['urbanjungle', 'rollsroyce', 'cover', 'igersvienna', 'citylife', 'vocals', 'musicvideo', 'igersaustria']",38.0,-0.09722222222222221
community cluster 2331,"['corona', 'streetstyle', 'vocals', 'weekendvibes', 'musicvideo', 'covid19', 'urban']",38.25,-0.23809523809523808
community cluster 2332,"['throwback', 'hiking', 'stayhome', 'paradise', 'steiermark', 'relaxing', 'holidaymood', 'stayhealthy']",59.0,-0.08196721311475402
community cluster 2333,"['corona', 'stayhome', 'paradise', 'sundayvibes', 'relaxing', 'covid19', 'igersaustria']",48.375,-0.2705167173252279
community cluster 2334,"['corona', 'weekendvibes', 'covid_19', 'sundayvibes', 'holidaymood', 'covid19', 'livemusic', 'igersaustria']",42.0,-0.34426229508196715
community cluster 2335,"['wienliebe', 'loveit', 'rollsroyce', 'igersvienna', 'igersaustria', 'weekendvibes', 'musicvideo', 'stayhealthy']",47.0,-0.1451612903225807
community cluster 2336,"['urbanjungle', 'musicians', 'rollsroyce', 'cover', 'citylife', 'musicvideo', 'livemusic']",21.375,-0.08665105386416849
community cluster 2337,"['loveit', 'rollsroyce', 'streetstyle', 'cover', 'igersvienna', 'citylife', 'weekendvibes', 'urban']",35.0,-0.28301886792452824
community cluster 2338,"['urbanjungle', 'rollsroyce', 'quarantine', 'steiermark', 'relaxing', 'austria', 'livemusic', 'stayhealthy']",37.0,-0.015151515151515096
community cluster 2339,"['urbanjungle', 'streetstyle', 'cover', 'igersvienna', 'citylife', 'weekendvibes', 'igersaustria', 'urban']",47.0,-0.057971014492753596
community cluster 2340,"['urbanjungle', 'loveit', 'hiking', 'cover', 'citylife', 'covid_19', 'austria', 'igersaustria']",36.0,-0.10958904109589036
community cluster 2341,"['musicians', 'streetstyle', 'cover', 'igersvienna', 'citylife', 'livemusic', 'stayhealthy', 'urban']",32.0,-0.2
community cluster 2342,"['streetstyle', 'stayhealthy', 'paradise', 'igersvienna', 'relaxing', 'igersaustria']",52.5,-0.1111111111111111
