username, is_a_company, is_a_deep_crawl
chris.sy.07,False,True
manuelanigg,False,True
pizzatuete_finito,False,True
lennoxandmay,False,True
mimimiandfriends,False,True
elsneggmarkenbaumschule,False,True
meowsanthropen,False,True
f.ourtyseven,False,True
linda.boe_,False,True
benko.knehtl,False,True
ezio_theaustrianhusky,False,True
oesterreichjobs,False,True
noahs_dream_,False,True
ewaldkrispel,False,True
instahelp.me,False,True
supersissi_marcucci,False,True
billardcafegraz,False,True
spacecoral,False,True
betty_s_88,False,True
udo_voithofer,False,True
interstellar_veterinarian,False,True
matsurihua18honey,False,True
ullis_multicoloredlittleworld,False,True
dia_milea,False,True
krinnerlaura,False,True
konsti_at,False,True
lau.racb,False,True
_the.mars,False,True
alexa_h,False,True
mini_is_me,False,True
hippiemetalmom,False,True
merlin_mechler_official,False,True
melinaruf,False,True
cheers_life_is_good,False,True
max.gaubatz,False,True
lustaufoesterreich,False,True
echttrinken,False,True
fame_forest,False,True
meli.ilas,False,True
gundisladen,False,True
markus.barta,False,True
jose271599,False,True
erstaunbar,False,True
lisalisaw,False,True
lenariecnik,False,True
sobini_net,False,True
paulborowan,False,True
christoph.hernach,False,True
dominiquewaddoup,False,True
kitcheria,False,True
matthiasauer,False,True
fabianmoeth,False,True
xchichixa,False,True
ben.sdorp,False,True
pandicorncarmen,False,True
tradingtravellife,False,True
lavabraeu,False,True
drinkking_de,False,True
die_lenii,False,True
sabrinamelcher_,False,True
zarflheike,False,True
vogrin.p,False,True
sarafoodislove,False,True
floo.raa_,False,True
testenundprobieren,False,True
judith.3623,False,True
allaboutnalah,False,True
lisa_lgmyr,False,True
samue0815,False,True
cena.amani,False,True
anastasiayourtchenko,False,True
denise1909,False,True
starfirewater,False,True
wingmanfood_official,False,True
ni_ki_ho,False,True
maaxl55,False,True
crosinci,False,True
xd.inna,False,True
lily.md,False,True
julsens_,False,True
nieselregenx,False,True
julia_sifrar,False,True
korneliainsight,False,True
theycallmevera,False,True
toth_maximilian,False,True
mautner.carina,False,True
n13who,False,True
vikipetritsch,False,True
regionbadgleichenberg,False,True
delizhde,False,True
beltsch_ro,False,True
duschoenesleben,False,True
austrian_view,False,True
solaga.de,False,True
selina0928492,False,True
outdoor_dawe,False,True
lisa_kriendlhofer,False,True
katjaschmiedi,False,True
zingerle_sandy,False,True
hicard_og,False,True
